month,downloads
2017m2,89
2017m3,52
2017m4,0
2017m5,70
2017m6,63
2017m7,64
2017m8,51
2017m9,64
2017m10,58
2017m11,46
2017m12,47
2018m1,62
2018m2,51
2018m3,75
2018m4,83
2018m5,50
2018m6,36
2018m7,5
2018m8,51
2018m9,7
2018m10,9
2018m11,64
2018m12,71
2019m1,76
2019m2,148
2019m3,88
2019m4,75
2019m5,92
2019m6,56
2019m7,64
2019m8,51
2019m9,87
2019m10,100
2019m11,66
2019m12,186
2020m1,212
2020m2,78
2020m3,172
2020m4,308
2020m5,194
2020m6,83
2020m7,82
2020m8,89
2020m9,52
2020m10,64
2020m11,98
2020m12,91
2021m1,117
2021m2,97
2021m3,128
2021m4,108
2021m5,156
2021m6,5
2021m7,69
2021m8,148
2021m9,90
2021m10,168
2021m11,158
2021m12,176
2022m1,176
2022m2,141
2022m3,245
2022m4,361
2022m5,225
2022m6,219
2022m7,151
2022m8,210
2022m9,225
2022m10,213
2022m11,221
2022m12,122
2023m1,171
2023m2,194
2023m3,241
2023m4,247
2023m5,209
2023m6,221
2023m7,197
2023m8,201
2023m9,208
2023m10,180
2023m11,191
2023m12,169
2024m1,281
2024m2,221
2024m3,302
2024m4,292
2024m5,243
2024m6,177
2024m7,154
2024m8,226
2024m9,207
2024m10,340
2024m11,259
